temperature,city,pression,date
32.2,Paris,1018,2026-07-07 09:35
25.4,London,1015,2026-07-07 09:35
24.45,Orleans,1016,2026-07-07 09:35
32.2,Paris,1018,2026-07-07 09:34
25.4,London,1015,2026-07-07 09:34
24.46,Orleans,1016,2026-07-07 09:34
32.2,Paris,1018,2026-07-07 09:33
25.4,London,1015,2026-07-07 09:33
24.46,Orleans,1016,2026-07-07 09:33
32.2,Paris,1018,2026-07-07 09:32
25.4,London,1015,2026-07-07 09:32
24.46,Orleans,1016,2026-07-07 09:32
32.2,Paris,1018,2026-07-07 09:31
25.4,London,1015,2026-07-07 09:31
24.46,Orleans,1016,2026-07-07 09:31
32.2,Paris,1018,2026-07-07 09:30
25.4,London,1015,2026-07-07 09:30
24.37,Orleans,1016,2026-07-07 09:30
32.2,Paris,1018,2026-07-07 09:29
25.46,London,1015,2026-07-07 09:29
24.46,Orleans,1016,2026-07-07 09:29
32.2,Paris,1018,2026-07-07 09:28
25.15,London,1015,2026-07-07 09:28
24.4,Orleans,1016,2026-07-07 09:28
32.2,Paris,1018,2026-07-07 09:27
25.15,London,1015,2026-07-07 09:27
24.46,Orleans,1016,2026-07-07 09:27
32.2,Paris,1018,2026-07-07 09:26
25.15,London,1015,2026-07-07 09:26
24.4,Orleans,1016,2026-07-07 09:26
31.91,Paris,1018,2026-07-07 09:25
25.15,London,1015,2026-07-07 09:25
24.46,Orleans,1016,2026-07-07 09:25
31.91,Paris,1018,2026-07-07 09:24
25.15,London,1015,2026-07-07 09:24
24.4,Orleans,1016,2026-07-07 09:24
31.91,Paris,1018,2026-07-07 09:21
25.15,London,1015,2026-07-07 09:21
24.37,Orleans,1016,2026-07-07 09:21
31.54,Paris,1018,2026-07-07 09:11
24.98,London,1015,2026-07-07 09:11
24.45,Orleans,1016,2026-07-07 09:11
31.72,Paris,1018,2026-07-07 09:10
24.88,London,1015,2026-07-07 09:10
24.45,Orleans,1016,2026-07-07 09:10
31.54,Paris,1018,2026-07-07 09:09
24.88,London,1015,2026-07-07 09:09
24.22,Orleans,1016,2026-07-07 09:09
31.54,Paris,1018,2026-07-07 09:08
24.51,London,1015,2026-07-07 09:08
24.45,Orleans,1016,2026-07-07 09:08
33.71,Paris,1017,2026-07-06 16:55
31.76,London,1016,2026-07-06 16:55
30.75,Orleans,1016,2026-07-06 16:55
33.71,Paris,1017,2026-07-06 16:54
31.73,London,1016,2026-07-06 16:54
30.52,Orleans,1016,2026-07-06 16:54
